Standard_Name,Aliases
IBM,
Microsoft,
Apple,
Google,
Amazon,
Meta,
Facebook,
Oracle,
SAP,
Cisco,
Intel,
AMD,
Nvidia,
Dell,
HP,
Lenovo,
Huawei,
Samsung,
Sony,
Panasonic,
Fujitsu,
Tencent,
Alibaba,
Baidu,
Xiaomi,
Didi,
Bytedance,
Uber,
Airbnb,
Salesforce,
Adobe,
Twitter,
LinkedIn,
Zoom,
Slack,
Spotify,
Netflix,
eBay,
PayPal,
Square,
Stripe,
OpenAI,
TSMC,
Qualcomm,
LG,
SK Hynix,
